taxi.data_prog_hourofdayofweek.zone_id,taxi.data_prog_hourofdayofweek.year,taxi.data_prog_hourofdayofweek.month,taxi.data_prog_hourofdayofweek.dayofweek,taxi.data_prog_hourofdayofweek.hourofday,taxi.data_prog_hourofdayofweek.count
1,2013,12,4,9,623
1,2013,12,7,10,1087
1,2010,1,2,0,1068
1,2010,1,5,1,384
1,2010,2,1,10,719
1,2010,2,4,11,519
1,2010,2,7,12,617
1,2010,3,3,21,1519
1,2010,3,6,22,977
1,2010,4,3,0,768
1,2010,4,6,1,240
1,2010,5,2,10,603
1,2010,5,5,11,887
1,2010,6,1,20,1919
1,2010,6,4,21,1697
1,2010,6,7,22,2137
1,2010,7,4,0,1544
1,2010,7,7,1,351
1,2010,8,3,10,720
1,2010,8,6,11,741
1,2010,9,2,20,1763
1,2010,9,5,21,1519
1,2010,10,5,0,1264
1,2010,11,1,9,1095
1,2010,11,4,10,515
1,2010,11,7,11,899
1,2010,12,3,20,1948
1,2010,12,6,21,1023
1,2011,1,2,7,1167
1,2011,1,5,8,1060
1,2011,2,1,17,1830
1,2011,2,4,18,1342
1,2011,2,7,19,1674
1,2011,4,3,7,1156
1,2011,4,6,8,753
1,2011,5,2,17,2304
1,2011,5,5,18,1686
1,2011,7,1,6,1570
1,2011,7,4,7,1205
1,2011,7,7,8,977
1,2011,8,3,17,2521
1,2011,8,6,18,1043
1,2011,10,2,6,1133
1,2011,10,5,7,1346
1,2011,11,1,16,2040
1,2011,11,4,17,1883
1,2011,11,7,18,1893
1,2012,1,2,14,1885
1,2012,1,5,15,1917
1,2012,3,1,3,31
1,2012,3,4,4,83
1,2012,3,7,5,427
1,2012,4,3,14,1561
1,2012,4,6,15,1766
1,2012,6,2,3,78
1,2012,6,5,4,113
1,2012,7,1,13,2239
1,2012,7,4,14,1676
1,2012,7,7,15,2782
1,2012,9,3,3,82
1,2012,9,6,4,133
1,2012,10,2,13,1583
1,2012,10,5,14,2097
1,2012,11,1,23,1695
1,2012,12,1,2,172
1,2012,12,4,3,85
1,2012,12,7,4,108
1,2013,1,2,21,2465
1,2013,1,5,22,1640
1,2013,2,2,0,1725
1,2013,2,5,1,317
1,2013,3,1,10,1146
1,2013,3,4,11,775
1,2013,3,7,12,1262
1,2013,4,3,21,1524
1,2013,4,6,22,1435
1,2013,5,3,0,1422
1,2013,5,6,1,655
1,2013,6,2,10,588
1,2013,6,5,11,1044
1,2013,7,1,20,2394
1,2013,7,4,21,1866
1,2013,7,7,22,2338
1,2013,8,4,0,1962
1,2013,8,7,1,323
1,2013,9,3,10,611
1,2013,9,6,11,1070
1,2013,10,2,20,3037
1,2013,10,5,21,2228
1,2013,11,5,0,1224
1,2013,12,1,9,1255
1,2013,12,4,10,775
1,2013,12,7,11,1000
1,2010,1,2,1,440
1,2010,1,5,2,172
1,2010,2,1,11,596
1,2010,2,4,12,576
1,2010,2,7,13,732
1,2010,3,3,22,1325
1,2010,3,6,23,917
1,2010,4,3,1,264
1,2010,4,6,2,111
1,2010,5,2,11,851
1,2010,5,5,12,1085
1,2010,6,1,21,1854
1,2010,6,4,22,1595
1,2010,6,7,23,2272
1,2010,7,1,0,1746
1,2010,7,4,1,548
1,2010,7,7,2,144
1,2010,8,3,11,738
1,2010,8,6,12,728
1,2010,9,2,21,1576
1,2010,9,5,22,1736
1,2010,10,2,0,1281
1,2010,10,5,1,290
1,2010,11,1,10,1166
1,2010,11,4,11,703
1,2010,11,7,12,955
1,2010,12,3,21,1909
1,2010,12,6,22,889
1,2011,1,2,8,954
1,2011,1,5,9,690
1,2011,2,1,18,1633
1,2011,2,4,19,1469
1,2011,2,7,20,1763
1,2011,4,3,8,953
1,2011,4,6,9,460
1,2011,5,2,18,2239
1,2011,5,5,19,1813
1,2011,7,1,7,1557
1,2011,7,4,8,856
1,2011,7,7,9,635
1,2011,8,3,18,2054
1,2011,8,6,19,994
1,2011,10,2,7,1398
1,2011,10,5,8,1298
1,2011,11,1,17,2054
1,2011,11,4,18,1540
1,2011,11,7,19,2124
1,2012,1,2,15,2553
1,2012,1,5,16,2103
1,2012,3,1,4,38
1,2012,3,4,5,774
1,2012,3,7,6,872
1,2012,4,3,15,2226
1,2012,4,6,16,1592
1,2012,6,2,4,77
1,2012,6,5,5,819
1,2012,7,1,14,2327
1,2012,7,4,15,1905
1,2012,7,7,16,2474
1,2012,9,3,4,72
1,2012,9,6,5,1052
1,2012,10,2,14,1772
1,2012,10,5,15,2168
1,2012,12,1,3,166
1,2012,12,4,4,82
1,2012,12,7,5,708
1,2013,1,2,22,2240
1,2013,1,5,23,1471
1,2013,2,2,1,717
1,2013,2,5,2,102
1,2013,3,1,11,906
1,2013,3,4,12,794
1,2013,3,7,13,1838
1,2013,4,3,22,1532
1,2013,4,6,23,1189
1,2013,5,3,1,678
1,2013,5,6,2,199
1,2013,6,2,11,1037
1,2013,6,5,12,1058
1,2013,7,1,21,2517
1,2013,7,4,22,1590
1,2013,7,7,23,2220
1,2013,8,1,0,1820
1,2013,8,4,1,1022
1,2013,8,7,2,69
1,2013,9,3,11,1075
1,2013,9,6,12,1090
1,2013,10,2,21,2832
1,2013,10,5,22,2249
1,2013,11,2,0,1113
1,2013,11,5,1,375
1,2013,12,1,10,1410
1,2013,12,4,11,809
1,2013,12,7,12,1096
1,2010,1,2,2,144
1,2010,1,5,3,64
1,2010,2,1,12,595
1,2010,2,4,13,805
1,2010,2,7,14,960
1,2010,3,3,23,1312
1,2010,4,3,2,165
1,2010,4,6,3,73
1,2010,5,2,12,816
1,2010,5,5,13,1220
1,2010,6,1,22,1870
1,2010,6,4,23,1423
1,2010,7,1,1,850
1,2010,7,4,2,177
1,2010,7,7,3,114
1,2010,8,3,12,791
1,2010,8,6,13,1036
1,2010,9,2,22,1448
1,2010,9,5,23,1457
1,2010,10,2,1,722
1,2010,10,5,2,174
1,2010,11,1,11,1122
1,2010,11,4,12,684
1,2010,11,7,13,1354
1,2010,12,3,22,1823
1,2010,12,6,23,553
1,2011,1,2,9,629
1,2011,1,5,10,634
1,2011,2,1,19,1614
1,2011,2,4,20,1625
1,2011,2,7,21,1699
1,2011,3,7,0,768
1,2011,4,3,9,757
1,2011,4,6,10,583
1,2011,5,2,19,2128
1,2011,5,5,20,1869
1,2011,7,1,8,1255
1,2011,7,4,9,682
1,2011,7,7,10,809
1,2011,8,3,19,2033
1,2011,8,6,20,1138
1,2011,10,2,8,1112
1,2011,10,5,9,743
1,2011,11,1,18,1750
1,2011,11,4,19,1581
1,2011,11,7,20,2245
1,2012,1,2,16,2271
1,2012,1,5,17,1860
1,2012,3,1,5,1027
1,2012,3,4,6,1510
1,2012,3,7,7,980
1,2012,4,3,16,2056
1,2012,4,6,17,1787
1,2012,6,2,5,803
1,2012,6,5,6,1618
1,2012,7,1,15,2756
1,2012,7,4,16,1834
1,2012,7,7,17,2557
1,2012,9,3,5,683
1,2012,9,6,6,1255
1,2012,10,2,15,2318
1,2012,10,5,16,2260
1,2012,12,1,4,180
1,2012,12,4,5,947
1,2012,12,7,6,1119
1,2013,1,2,23,1890
1,2013,2,2,2,158
1,2013,2,5,3,33
1,2013,3,1,12,1121
1,2013,3,4,13,1450
1,2013,3,7,14,2304
1,2013,4,3,23,1453
1,2013,5,3,2,155
1,2013,5,6,3,120
1,2013,6,2,12,982
1,2013,6,5,13,1657
1,2013,7,1,22,2547
1,2013,7,4,23,1724
1,2013,8,1,1,857
1,2013,8,4,2,198
1,2013,8,7,3,34
1,2013,9,3,12,1182
1,2013,9,6,13,1734
1,2013,10,2,22,2157
1,2013,10,5,23,1672
1,2013,11,2,1,243
1,2013,11,5,2,44
1,2013,12,1,11,1186
1,2013,12,4,12,1150
1,2013,12,7,13,1758
1,2010,1,2,3,56
1,2010,1,5,4,112
1,2010,2,1,13,738
1,2010,2,4,14,891
1,2010,2,7,15,1324
1,2010,4,3,3,65
1,2010,4,6,4,85
1,2010,5,2,13,1090
1,2010,5,5,14,1439
1,2010,6,1,23,1785
1,2010,7,1,2,185
1,2010,7,4,3,85
1,2010,7,7,4,120
1,2010,8,3,13,1088
1,2010,8,6,14,1265
1,2010,9,2,23,1114
1,2010,10,2,2,109
1,2010,10,5,3,101
1,2010,11,1,12,1222
1,2010,11,4,13,1104
1,2010,11,7,14,1584
1,2010,12,3,23,1499
1,2011,1,2,10,725
1,2011,1,5,11,711
1,2011,2,1,20,1839
1,2011,2,4,21,1463
1,2011,2,7,22,1847
1,2011,3,4,0,1201
1,2011,3,7,1,417
1,2011,4,3,10,792
1,2011,4,6,11,774
1,2011,5,2,20,2221
1,2011,5,5,21,1570
1,2011,6,5,0,1605
1,2011,7,1,9,963
1,2011,7,4,10,714
1,2011,7,7,11,1154
1,2011,8,3,20,2076
1,2011,8,6,21,987
1,2011,9,6,0,1207
1,2011,10,2,9,847
1,2011,10,5,10,744
1,2011,11,1,19,1857
1,2011,11,4,20,1783
1,2011,11,7,21,2042
1,2011,12,7,0,375
1,2012,1,2,17,2230
1,2012,1,5,18,1499
1,2012,3,1,6,1948
1,2012,3,4,7,1434
1,2012,3,7,8,972
1,2012,4,3,17,2064
1,2012,4,6,18,1532
1,2012,6,2,6,1131
1,2012,6,5,7,1834
1,2012,7,1,16,2627
1,2012,7,4,17,1906
1,2012,7,7,18,2630
1,2012,9,3,6,1435
1,2012,9,6,7,1394
1,2012,10,2,16,2194
1,2012,10,5,17,2205
1,2012,12,1,5,978
1,2012,12,4,6,1004
1,2012,12,7,7,1185
1,2013,2,2,3,72
1,2013,2,5,4,129
1,2013,3,1,13,1493
1,2013,3,4,14,1707
1,2013,3,7,15,3194
1,2013,5,3,3,128
1,2013,5,6,4,58
1,2013,6,2,13,1647
1,2013,6,5,14,1723
1,2013,7,1,23,2356
1,2013,8,1,2,281
1,2013,8,4,3,18
1,2013,8,7,4,42
1,2013,9,3,13,1911
1,2013,9,6,14,1806
1,2013,10,2,23,1914
1,2013,11,2,2,32
1,2013,11,5,3,86
1,2013,12,1,12,1278
1,2013,12,4,13,1438
1,2013,12,7,14,2450
1,2010,1,2,4,92
1,2010,1,5,5,414
1,2010,2,1,14,1012
1,2010,2,4,15,1271
1,2010,2,7,16,1279
1,2010,4,3,4,52
1,2010,4,6,5,302
1,2010,5,2,14,1257
1,2010,5,5,15,1764
1,2010,7,1,3,103
1,2010,7,4,4,101
1,2010,7,7,5,479
1,2010,8,3,14,1317
1,2010,8,6,15,1410
1,2010,10,2,3,63
1,2010,10,5,4,88
1,2010,11,1,13,1588
1,2010,11,4,14,1276
1,2010,11,7,15,2054
1,2011,1,2,11,855
1,2011,1,5,12,688
1,2011,2,1,21,1683
1,2011,2,4,22,1291
1,2011,2,7,23,1508
1,2011,3,1,0,1396
1,2011,3,4,1,542
1,2011,3,7,2,116
1,2011,4,3,11,737
1,2011,4,6,12,826
1,2011,5,2,21,2103
1,2011,5,5,22,1677
1,2011,6,2,0,1370
1,2011,6,5,1,1193
1,2011,7,1,10,907
1,2011,7,4,11,847
1,2011,7,7,12,1134
1,2011,8,3,21,2085
1,2011,8,6,22,1112
1,2011,9,3,0,1203
1,2011,9,6,1,566
1,2011,10,2,10,900
1,2011,10,5,11,950
1,2011,11,1,20,1993
1,2011,11,4,21,1835
1,2011,11,7,22,2328
1,2011,12,4,0,1128
1,2011,12,7,1,172
1,2012,1,2,18,1900
1,2012,1,5,19,1786
1,2012,3,1,7,1836
1,2012,3,4,8,1454
1,2012,3,7,9,721
1,2012,4,3,18,1791
1,2012,4,6,19,1554
1,2012,6,2,7,1503
1,2012,6,5,8,1359
1,2012,7,1,17,2496
1,2012,7,4,18,1951
1,2012,7,7,19,2461
1,2012,9,3,7,1652
1,2012,9,6,8,1368
1,2012,10,2,17,2146
1,2012,10,5,18,2086
1,2012,12,1,6,1690
1,2012,12,4,7,1483
1,2012,12,7,8,998
1,2013,2,2,4,62
1,2013,2,5,5,987
1,2013,3,1,14,1947
1,2013,3,4,15,2140
1,2013,3,7,16,3017
1,2013,5,3,4,60
1,2013,5,6,5,610
1,2013,6,2,14,1656
1,2013,6,5,15,1938
1,2013,8,1,3,80
1,2013,8,4,4,132
1,2013,8,7,5,492
1,2013,9,3,14,1843
1,2013,9,6,15,2079
1,2013,11,2,3,16
1,2013,11,5,4,136
1,2013,12,1,13,1710
1,2013,12,4,14,1977
1,2013,12,7,15,2863
1,2010,1,2,5,367
1,2010,1,5,6,1037
1,2010,2,1,15,1390
1,2010,2,4,16,1096
1,2010,2,7,17,1245
1,2010,4,3,5,357
1,2010,4,6,6,760
1,2010,5,2,15,1537
1,2010,5,5,16,1852
1,2010,7,1,4,210
1,2010,7,4,5,572
1,2010,7,7,6,860
1,2010,8,3,15,1427
1,2010,8,6,16,1227
1,2010,10,2,4,72
1,2010,10,5,5,527
1,2010,11,1,14,2040
1,2010,11,4,15,1668
1,2010,11,7,16,1971
1,2011,1,2,12,725
1,2011,1,5,13,924
1,2011,2,1,22,1749
1,2011,2,4,23,1166
1,2011,3,1,1,1113
1,2011,3,4,2,198
1,2011,3,7,3,96
1,2011,4,3,12,888
1,2011,4,6,13,1359
1,2011,5,2,22,2212
1,2011,5,5,23,1357
1,2011,6,2,1,644
1,2011,6,5,2,385
1,2011,7,1,11,1204
1,2011,7,4,12,811
1,2011,7,7,13,1878
1,2011,8,3,22,2384
1,2011,8,6,23,893
1,2011,9,3,1,434
1,2011,9,6,2,138
1,2011,10,2,11,867
1,2011,10,5,12,917
1,2011,11,1,21,1712
1,2011,11,4,22,1578
1,2011,11,7,23,2005
1,2011,12,1,0,961
1,2011,12,4,1,299
1,2011,12,7,2,44
1,2012,1,2,19,2093
1,2012,1,5,20,1692
1,2012,3,1,8,1638
1,2012,3,4,9,857
1,2012,3,7,10,721
1,2012,4,3,19,1823
1,2012,4,6,20,1339
1,2012,6,2,8,1323
1,2012,6,5,9,971
1,2012,7,1,18,2541
1,2012,7,4,19,1668
1,2012,7,7,20,2769
1,2012,9,3,8,1251
1,2012,9,6,9,685
1,2012,10,2,18,2032
1,2012,10,5,19,2089
1,2012,12,1,7,1823
1,2012,12,4,8,1088
1,2012,12,7,9,746
1,2013,2,2,5,1135
1,2013,2,5,6,1289
1,2013,3,1,15,2176
1,2013,3,4,16,2263
1,2013,3,7,17,2823
1,2013,5,3,5,807
1,2013,5,6,6,1049
1,2013,6,2,15,1917
1,2013,6,5,16,1946
1,2013,8,1,4,127
1,2013,8,4,5,962
1,2013,8,7,6,848
1,2013,9,3,15,2107
1,2013,9,6,16,2079
1,2013,11,2,4,225
1,2013,11,5,5,1174
1,2013,12,1,14,2587
1,2013,12,4,15,2042
1,2013,12,7,16,3052
1,2010,1,2,6,947
1,2010,1,5,7,1230
1,2010,2,1,16,1285
1,2010,2,4,17,1115
1,2010,2,7,18,1044
1,2010,4,3,6,1037
1,2010,4,6,7,746
1,2010,5,2,16,1635
1,2010,5,5,17,1804
1,2010,7,1,5,669
1,2010,7,4,6,1340
1,2010,7,7,7,923
1,2010,8,3,16,1325
1,2010,8,6,17,1327
1,2010,10,2,5,427
1,2010,10,5,6,1090
1,2010,11,1,15,2399
1,2010,11,4,16,1500
1,2010,11,7,17,1992
1,2011,1,2,13,996
1,2011,1,5,14,1240
1,2011,2,1,23,1274
1,2011,3,1,2,396
1,2011,3,4,3,92
1,2011,3,7,4,69
1,2011,4,3,13,1204
1,2011,4,6,14,1567
1,2011,5,2,23,1508
1,2011,6,2,2,50
1,2011,6,5,3,158
1,2011,7,1,12,1098
1,2011,7,4,13,1267
1,2011,7,7,14,2066
1,2011,8,3,23,1578
1,2011,9,3,2,69
1,2011,9,6,3,74
1,2011,10,2,12,809
1,2011,10,5,13,1321
1,2011,11,1,22,1757
1,2011,11,4,23,1314
1,2011,12,1,1,326
1,2011,12,4,2,61
1,2011,12,7,3,74
1,2012,1,2,20,2157
1,2012,1,5,21,1467
1,2012,2,5,0,970
1,2012,3,1,9,1040
1,2012,3,4,10,1031
1,2012,3,7,11,715
1,2012,4,3,20,2048
1,2012,4,6,21,1400
1,2012,5,6,0,1182
1,2012,6,2,9,703
1,2012,6,5,10,948
1,2012,7,1,19,2365
1,2012,7,4,20,1728
1,2012,7,7,21,2694
1,2012,8,7,0,987
1,2012,9,3,9,849
1,2012,9,6,10,893
1,2012,10,2,19,2137
1,2012,10,5,20,2331
1,2012,12,1,8,1567
1,2012,12,4,9,748
1,2012,12,7,10,806
1,2013,2,2,6,1458
1,2013,2,5,7,1454
1,2013,3,1,16,2439
1,2013,3,4,17,2014
1,2013,3,7,18,2573
1,2013,5,3,6,1441
1,2013,5,6,7,1046
1,2013,6,2,16,1860
1,2013,6,5,17,1919
1,2013,8,1,5,1211
1,2013,8,4,6,1317
1,2013,8,7,7,1004
1,2013,9,3,16,2176
1,2013,9,6,17,2034
1,2013,11,2,5,853
1,2013,11,5,6,1395
1,2013,12,1,15,2944
1,2013,12,4,16,2070
1,2013,12,7,17,2678
1,2010,1,2,7,1248
1,2010,1,5,8,1069
1,2010,2,1,17,1136
1,2010,2,4,18,914
1,2010,2,7,19,1102
1,2010,4,3,7,1162
1,2010,4,6,8,783
1,2010,5,2,17,1755
1,2010,5,5,18,1475
1,2010,7,1,6,1480
1,2010,7,4,7,1669
1,2010,7,7,8,666
1,2010,8,3,17,1491
1,2010,8,6,18,1168
1,2010,10,2,6,1011
1,2010,10,5,7,1418
1,2010,11,1,16,2423
1,2010,11,4,17,1474
1,2010,11,7,18,1787
1,2011,1,2,14,1306
1,2011,1,5,15,1612
1,2011,3,1,3,122
1,2011,3,4,4,79
1,2011,3,7,5,445
1,2011,4,3,14,1610
1,2011,4,6,15,1623
1,2011,6,2,3,83
1,2011,6,5,4,93
1,2011,7,1,13,1606
1,2011,7,4,14,1645
1,2011,7,7,15,2399
1,2011,9,3,3,13
1,2011,9,6,4,51
1,2011,10,2,13,1488
1,2011,10,5,14,1856
1,2011,11,1,23,1685
1,2011,12,1,2,181
1,2011,12,4,3,70
1,2011,12,7,4,65
1,2012,1,2,21,2245
1,2012,1,5,22,1194
1,2012,2,2,0,1241
1,2012,2,5,1,330
1,2012,3,1,10,1225
1,2012,3,4,11,1036
1,2012,3,7,12,1042
1,2012,4,3,21,1773
1,2012,4,6,22,1149
1,2012,5,3,0,1486
1,2012,5,6,1,335
1,2012,6,2,10,767
1,2012,6,5,11,1103
1,2012,7,1,20,2596
1,2012,7,4,21,1576
1,2012,7,7,22,2649
1,2012,8,4,0,2030
1,2012,8,7,1,601
1,2012,9,3,10,762
1,2012,9,6,11,1174
1,2012,10,2,20,2392
1,2012,10,5,21,2078
1,2012,11,5,0,1432
1,2012,12,1,9,1218
1,2012,12,4,10,828
1,2012,12,7,11,900
1,2013,2,2,7,1532
1,2013,2,5,8,1004
1,2013,3,1,17,2307
1,2013,3,4,18,1948
1,2013,3,7,19,2712
1,2013,5,3,7,1849
1,2013,5,6,8,1088
1,2013,6,2,17,1905
1,2013,6,5,18,1859
1,2013,8,1,6,1418
1,2013,8,4,7,1763
1,2013,8,7,8,922
1,2013,9,3,17,2046
1,2013,9,6,18,1992
1,2013,11,2,6,965
1,2013,11,5,7,1733
1,2013,12,1,16,2712
1,2013,12,4,17,1838
1,2013,12,7,18,2731
1,2010,1,2,8,1051
1,2010,1,5,9,634
1,2010,2,1,18,1137
1,2010,2,4,19,1006
1,2010,2,7,20,1271
1,2010,4,3,8,880
1,2010,4,6,9,520
1,2010,5,2,18,1573
1,2010,5,5,19,1389
1,2010,7,1,7,1792
1,2010,7,4,8,1095
1,2010,7,7,9,461
1,2010,8,3,18,1203
1,2010,8,6,19,1163
1,2010,10,2,7,1294
1,2010,10,5,8,1002
1,2010,11,1,17,2270
1,2010,11,4,18,1246
1,2010,11,7,19,1880
1,2011,1,2,15,1688
1,2011,1,5,16,1703
1,2011,3,1,4,83
1,2011,3,4,5,712
1,2011,3,7,6,996
1,2011,4,3,15,1974
1,2011,4,6,16,1590
1,2011,6,2,4,57
1,2011,6,5,5,597
1,2011,7,1,14,1928
1,2011,7,4,15,1771
1,2011,7,7,16,2447
1,2011,9,3,4,47
1,2011,9,6,5,559
1,2011,10,2,14,1620
1,2011,10,5,15,2079
1,2011,12,1,3,32
1,2011,12,4,4,74
1,2011,12,7,5,481
1,2012,1,2,22,1568
1,2012,1,5,23,1115
1,2012,2,2,1,493
1,2012,2,5,2,99
1,2012,3,1,11,898
1,2012,3,4,12,1281
1,2012,3,7,13,1133
1,2012,4,3,22,1802
1,2012,4,6,23,862
1,2012,5,3,1,1061
1,2012,5,6,2,83
1,2012,6,2,11,832
1,2012,6,5,12,1416
1,2012,7,1,21,2326
